Company Name,Industry,Symbol,Series,ISIN Code,Percentage Change,Market Cap
Glenmark Life Sciences Ltd.,Healthcare,GLS,EQ,INE03Q201024,-0.9623123128792545,562154.665136
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035,-2.7881040892193343,1247183.24952
Go Fashion (India) Ltd.,Consumer Services,GOCOLORS,EQ,INE0BJS01011,0.8984118140131558,546300.87316
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028,0.8818532962228565,524930.61632
Godrej Agrovet Ltd.,Fast Moving Consumer Goods,GODREJAGRO,EQ,INE850D01014,-0.1395141419095691,849427.45264
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028,-1.40890169708614,7641748.403367
Godrej Industries Ltd.,Fast Moving Consumer Goods,GODREJIND,EQ,INE233A01035,-0.6357544525458225,1561751.21232
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027,-4.149151904192417,4648516.456374
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020,-2.66639037480656,760137.70344
Graphite India Ltd.,Capital Goods,GRAPHITE,EQ,INE371A01025,-3.261945327515792,982446.174429
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021,-3.663659810105069,10954035.88864
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032,-1.052201740294323,507548.752494
Grindwell Norton Ltd.,Capital Goods,GRINDWELL,EQ,INE536A01023,-2.740705369333374,1992904.64
Gujarat Alkalies & Chemicals Ltd.,Chemicals,GUJALKALI,EQ,INE186A01019,-1.288512366752259,658473.317151
Gujarat Ambuja Exports Ltd.,Fast Moving Consumer Goods,GAEL,EQ,INE036B01030,-3.269661125151801,596730.52866
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,BE,INE09N301011,-1.5975776349339663,3012691.175
Gujarat Gas Ltd.,Oil Gas & Consumable Fuels,GUJGASLTD,EQ,INE844O01030,2.335315821143147,3464323.3040625
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,EQ,INE113A01013,-1.3784300182984044,1312433.9130435002
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014,-1.9472304674317376,369348.09124
Gujarat State Fertilizers & Chemicals Ltd.,Chemicals,GSFC,EQ,INE026A01025,-2.960743085753481,645732.837365
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010,-3.921936750323074,1461589.569528
H.E.G. Ltd.,Capital Goods,HEG,EQ,INE545A01016,-1.9927234963705187,531093.460313
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027,0.3251909786485596,31580277.5547
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025,-1.1589183428799776,4576672.281861
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034,-2.869639023614889,81525796.21051599
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014,-1.8276972790482349,11369597.139108
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028,-2.499997615814209,1083371.781927
HLE Glascoat Ltd.,Capital Goods,HLEGLAS,EQ,INE461D01010,-2.205268804386696,544000.0
Happiest Minds Technologies Ltd.,Information Technology,HAPPSTMNDS,EQ,INE419U01012,-3.052065959881578,1551833.764474
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY,EQ,INE982F01036,-3.977276975950828,305343.02625
Hatsun Agro Product Ltd.,Fast Moving Consumer Goods,HATSUN,EQ,INE473B01035,-0.6229753301769225,2310838.82256
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034,-0.890783093095382,7218455.9987085
Hemisphere Properties India Ltd.,Realty,HEMIPROP,EQ,INE0AJG01018,-0.7785917778664886,325897.5
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026,-3.4611180144112463,4583985.6444515
Hikal Ltd.,Healthcare,HIKAL,EQ,INE475B01022,-3.151104028019014,496038.91725
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020,-5.963787106248841,12797648.66318
Hinduja Global Solutions Ltd.,Services,HGS,EQ,INE170I01016,-3.162440679650546,427856.766284
Hindustan Aeronautics Ltd.,Capital Goods,HAL,EQ,INE066F01012,0.5138086062941527,4965319.9875
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026,-2.7938867353824337,1099989.82275
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015,-1.4399347786492545,3820859.9672575
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027,-1.7078784918823642,48134901.388963
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,EQ,INE267A01025,-1.5061810875516168,13104826.8785
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011,-2.8614610474843705,1492364.7309375
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025,1.465076660988074,674297.5277335
Honeywell Automation India Ltd.,Capital Goods,HONAUT,EQ,INE671A01010,-1.8690504902877487,3508033.3976640003
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017,-3.571433225562215,655622.25
Housing Development Finance Corporation Ltd.,Financial Services,HDFC,EQ,INE001A01036,-1.8183090388246392,43247738.877696
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021,-1.988240263837316,50744643.013381
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017,-1.9191018164048,6520510.8381240005
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019,-1.092308255043828,7199466.259909
ICICI Securities Ltd.,Financial Services,ISEC,EQ,INE763G01038,-3.0366248519899,2004627.3897125
IDBI Bank Ltd.,Financial Services,IDBI,EQ,INE008A01015,-4.1290283203125,4602028.1309
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,EQ,INE092T01019,-4.62585241616178,2468430.19907
IDFC Ltd.,Financial Services,IDFC,EQ,INE043D01016,-2.453385635489991,985799.194185
IFB Industries Ltd.,Consumer Durables,IFBIND,EQ,INE559A01017,-6.885041345794496,421679.109972
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024,-3.988928608445175,1084133.918616
IIFL Wealth Management Ltd.,Financial Services,IIFLWAM,EQ,INE466L01020,-3.575722341329435,1480444.524267
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01014,-2.765099968677287,1517298.75
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021,-1.028281517194285,374325.26452
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025,-1.8971214396705127,30888240.993558
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017,-2.0970641869350715,900382.8071505
India Cements Ltd.,Construction Materials,INDIACEM,EQ,INE383A01012,-3.344667857498129,649234.636095
Indiabulls Housing Finance Ltd.,Financial Services,IBULHSGFIN,EQ,INE148I01020,6.477729958974243,739405.8333119999
Indiabulls Real Estate Ltd.,Realty,IBREALEST,EQ,INE069I01010,1.7445917283735346,462501.518544
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016,-3.0234541857412034,1321199.558011
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011,-3.8474891173364334,1916733.912921
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020,-3.3133269224920325,2019310.440651
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,EQ,INE053A01029,-3.111111111111109,3151514.43927
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010,-0.1245279371396179,11198142.037718998
Indian Overseas Bank,Financial Services,IOB,EQ,INE565A01014,-3.658533181412238,3430787.8244640003
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020,-4.055693862283649,6197600.0
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010,-0.9345741082053104,2803194.537
Indigo Paints Ltd.,Consumer Durables,INDIGOPNTS,EQ,INE09VQ01012,-0.5031518466995455,763886.7383244999
Indo Count Industries Ltd.,Textiles,ICIL,EQ,INE483B01026,2.5570477328182406,313766.775465
Indoco Remedies Ltd.,Healthcare,INDOCO,EQ,INE873D01024,-2.6911746754365806,347452.9135275
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027,-2.168014791210316,2612052.9852
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017,-0.2160849691439037,5984107.497475
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012,-5.350080108851262,7246094.976372
Infibeam Avenues Ltd.,Information Technology,INFIBEAM,EQ,INE483S01020,0.7380031467732806,517866.074397
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01024,-2.0080636519092865,5807455.49934
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021,-0.7041100376616982,80216195.7759085
Inox Leisure Ltd.,Media Entertainment & Publication,INOXLEISUR,EQ,INE312H01016,-2.98114275327902,648152.520012
